nodeclaim,createdtime,nodepool,instancetypes,launchedtime,providerid,instancetype,zone,capacitytype,registeredtime,k8snodename,initializedtime,nodereadytime,nodereadytimesec,disruptiontime,disruptionreason,disruptiondecision,disruptednodecount,replacementnodecount,disruptedpodcount,annotationtime,annotation,interruptiontime,tainttime,taint,interruptionkind,deletedtime,nodeterminationtime,nodeterminationtimesec,nodelifecycletime,nodelifecycletimesec,initialized,deleted
local-storage-raid-al2023-9v4jw,2025-03-11T06:02:06.613Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.xlarge|c5d.2xlarge|c5d.4xlarge|c6gd.2xlarge|and55others,2025-03-11T06:02:09.018Z,i-0b282e84f30fa030e,c7gd.large,eu-west-1c,spot,2025-03-11T06:02:30.086Z,ip-10-0-165-118.eu-west-1.compute.internal,2025-03-11T06:02:51.126Z,44.513s,44.5,,,,,,,2025-03-11T06:07:06.081Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T06:07:06Z,2025-03-11T06:07:06.153Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T06:08:21.342Z,1m15.261s,75.3,6m14.729s,374.7,true,true
local-storage-raid-al2023-mp6gb,2025-03-11T06:07:08.196Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.xlarge|c5d.4xlarge|c6gd.2xlarge|c6gd.4xlarge|and55others,2025-03-11T06:07:10.422Z,i-01f708ede2ef8b0ae,c7gd.large,eu-west-1b,spot,2025-03-11T06:07:29.992Z,ip-10-0-68-88.eu-west-1.compute.internal,2025-03-11T06:07:49.641Z,41.445s,41.4,,,,,,,2025-03-11T06:12:08.061Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T06:12:08Z,2025-03-11T06:12:08.114Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T06:13:27.718Z,1m19.657s,79.7,6m19.522s,379.5,true,true
local-storage-raid-al2023-qdmx9,2025-03-11T06:12:09.709Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.xlarge|c5d.2xlarge|c5d.4xlarge|c6gd.2xlarge|and55others,2025-03-11T06:12:11.793Z,i-0f05166510d37863b,c7gd.large,eu-west-1c,spot,2025-03-11T06:12:30.776Z,ip-10-0-156-41.eu-west-1.compute.internal,2025-03-11T06:12:51.317Z,41.608s,41.6,,,,,,,2025-03-11T06:17:09.060Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T06:17:09Z,2025-03-11T06:17:09.108Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T06:18:19.351Z,1m10.291s,70.3,6m9.642s,369.6,true,true
local-storage-raid-al2023-xxpqf,2025-03-11T06:17:11.478Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.4xlarge|c5ad.xlarge|c6gd.2xlarge|c6gd.large|and55others,2025-03-11T06:17:13.688Z,i-071504c3c1d0f6022,m6gd.large,eu-west-1a,spot,2025-03-11T06:17:35.062Z,ip-10-0-54-42.eu-west-1.compute.internal,2025-03-11T06:18:01.440Z,49.962s,50.0,,,,,,,2025-03-11T06:22:11.063Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T06:22:11Z,2025-03-11T06:22:11.111Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T06:23:51.421Z,1m40.358s,100.4,6m39.943s,399.9,true,true
local-storage-raid-al2023-rkmsg,2025-03-11T06:22:12.794Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.xlarge|c5d.2xlarge|c5d.4xlarge|c6gd.2xlarge|and55others,2025-03-11T06:22:14.880Z,i-083462c2e2fce2b1a,c7gd.large,eu-west-1c,spot,2025-03-11T06:22:34.858Z,ip-10-0-152-38.eu-west-1.compute.internal,2025-03-11T06:22:54.065Z,41.271s,41.3,,,,,,,2025-03-11T06:27:12.067Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T06:27:12Z,2025-03-11T06:27:12.115Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T06:28:26.943Z,1m14.876s,74.9,6m14.149s,374.1,true,true
local-storage-raid-al2023-dm78j,2025-03-11T06:27:14.306Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.xlarge|c5d.2xlarge|c5d.4xlarge|c6gd.2xlarge|and55others,2025-03-11T06:27:16.688Z,i-080378e8710e1762c,c7gd.large,eu-west-1c,spot,2025-03-11T06:27:37.073Z,ip-10-0-171-198.eu-west-1.compute.internal,2025-03-11T06:27:58.628Z,44.322s,44.3,,,,,,,2025-03-11T06:32:14.067Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T06:32:14Z,2025-03-11T06:32:14.122Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T06:33:07.713Z,53.646s,53.6,5m53.407s,353.4,true,true
local-storage-raid-al2023-5fj2t,2025-03-11T06:32:15.790Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.4xlarge|c5ad.xlarge|c6gd.2xlarge|c6gd.large|and55others,2025-03-11T06:32:18.151Z,i-031d04615b311dcd8,m6gd.large,eu-west-1a,spot,2025-03-11T06:32:40.162Z,ip-10-0-10-112.eu-west-1.compute.internal,2025-03-11T06:33:06.281Z,50.491s,50.5,,,,,,,2025-03-11T06:37:15.067Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T06:37:15Z,2025-03-11T06:37:15.116Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T06:38:46.133Z,1m31.066s,91.1,6m30.343s,390.3,true,true
local-storage-raid-al2023-4dvbf,2025-03-11T06:37:17.335Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.xlarge|c5d.2xlarge|c5d.4xlarge|c6gd.2xlarge|and55others,2025-03-11T06:37:19.828Z,i-0c673fc5f3ee9f01f,c7gd.large,eu-west-1c,spot,2025-03-11T06:37:38.558Z,ip-10-0-147-89.eu-west-1.compute.internal,2025-03-11T06:37:59.392Z,42.057s,42.1,,,,,,,2025-03-11T06:42:17.063Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T06:42:17Z,2025-03-11T06:42:17.115Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T06:43:26.301Z,1m9.238s,69.2,6m8.966s,369.0,true,true
local-storage-raid-al2023-srlgj,2025-03-11T06:42:18.802Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.4xlarge|c5ad.xlarge|c6gd.2xlarge|c6gd.large|and55others,2025-03-11T06:42:21.029Z,i-0cdf42cd1f38714ef,m6gd.large,eu-west-1a,spot,2025-03-11T06:42:45.419Z,ip-10-0-63-179.eu-west-1.compute.internal,2025-03-11T06:43:12.025Z,53.223s,53.2,,,,,,,2025-03-11T06:47:18.070Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T06:47:18Z,2025-03-11T06:47:18.125Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T06:48:12.937Z,54.867s,54.9,5m54.135s,354.1,true,true
local-storage-raid-al2023-6g6nh,2025-03-11T06:47:20.325Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.xlarge|c5d.4xlarge|c6gd.2xlarge|c6gd.4xlarge|and55others,2025-03-11T06:47:22.472Z,i-0ade240b6f1facc25,c7gd.large,eu-west-1b,spot,2025-03-11T06:47:42.807Z,ip-10-0-88-241.eu-west-1.compute.internal,2025-03-11T06:48:02.476Z,42.151s,42.2,,,,,,,2025-03-11T06:52:20.066Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T06:52:20Z,2025-03-11T06:52:20.117Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T06:54:00.700Z,1m40.634s,100.6,6m40.375s,400.4,true,true
local-storage-raid-al2023-8g6vk,2025-03-11T06:52:21.796Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.4xlarge|c5ad.xlarge|c6gd.2xlarge|c6gd.large|and55others,2025-03-11T06:52:23.977Z,i-0f2ea8ccf45aff933,m6gd.large,eu-west-1a,spot,2025-03-11T06:52:45.011Z,ip-10-0-9-119.eu-west-1.compute.internal,2025-03-11T06:53:10.549Z,48.753s,48.8,,,,,,,2025-03-11T06:57:21.061Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T06:57:21Z,2025-03-11T06:57:21.112Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T06:58:41.745Z,1m20.684s,80.7,6m19.949s,379.9,true,true
local-storage-raid-al2023-snhjw,2025-03-11T06:57:23.322Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.xlarge|c5d.2xlarge|c5d.4xlarge|c6gd.2xlarge|and55others,2025-03-11T06:57:25.495Z,i-0dfa2cc0d0b785dfd,c7gd.large,eu-west-1c,spot,2025-03-11T06:57:46.868Z,ip-10-0-190-151.eu-west-1.compute.internal,2025-03-11T06:58:07.395Z,44.073s,44.1,,,,,,,2025-03-11T07:02:23.060Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T07:02:23Z,2025-03-11T07:02:23.129Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T07:03:21.994Z,58.934s,58.9,5m58.672s,358.7,true,true
local-storage-raid-al2023-f7f7q,2025-03-11T07:02:24.942Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.xlarge|c5d.4xlarge|c6gd.2xlarge|c6gd.4xlarge|and55others,2025-03-11T07:02:27.274Z,i-096d8ea2d0d705af9,c7gd.large,eu-west-1b,spot,2025-03-11T07:02:47.333Z,ip-10-0-95-136.eu-west-1.compute.internal,2025-03-11T07:03:06.198Z,41.256s,41.3,,,,,,,2025-03-11T07:07:24.064Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T07:07:24Z,2025-03-11T07:07:24.118Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T07:08:47.939Z,1m23.875s,83.9,6m22.997s,383.0,true,true
local-storage-raid-al2023-n97cb,2025-03-11T07:07:26.385Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.xlarge|c5d.4xlarge|c6gd.2xlarge|c6gd.4xlarge|and55others,2025-03-11T07:07:28.734Z,i-007a86a43cbd958c5,c7gd.large,eu-west-1b,spot,2025-03-11T07:07:49.024Z,ip-10-0-75-197.eu-west-1.compute.internal,2025-03-11T07:08:08.391Z,42.006s,42.0,,,,,,,2025-03-11T07:12:26.063Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T07:12:26Z,2025-03-11T07:12:26.113Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T07:13:30.192Z,1m4.129s,64.1,6m3.807s,363.8,true,true
local-storage-raid-al2023-ntwbt,2025-03-11T07:12:27.862Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.4xlarge|c5ad.xlarge|c6gd.2xlarge|c6gd.large|and55others,2025-03-11T07:12:30.185Z,i-04ac18aaf6ebfe20f,m6gd.large,eu-west-1a,spot,2025-03-11T07:12:52.645Z,ip-10-0-60-133.eu-west-1.compute.internal,2025-03-11T07:13:20.073Z,52.211s,52.2,,,,,,,2025-03-11T07:17:27.060Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T07:17:27Z,2025-03-11T07:17:27.115Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T07:18:52.847Z,1m25.787s,85.8,6m24.985s,385.0,true,true
local-storage-raid-al2023-n5l6g,2025-03-11T07:17:29.349Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.4xlarge|c5ad.xlarge|c6gd.2xlarge|c6gd.large|and55others,2025-03-11T07:17:31.662Z,i-0fda568150718116f,m6gd.large,eu-west-1a,spot,2025-03-11T07:17:53.906Z,ip-10-0-14-87.eu-west-1.compute.internal,2025-03-11T07:18:20.719Z,51.37s,51.4,,,,,,,2025-03-11T07:22:29.076Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T07:22:29Z,2025-03-11T07:22:29.150Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T07:24:24.799Z,1m55.723s,115.7,6m55.45s,415.4,true,true
local-storage-raid-al2023-qx47h,2025-03-11T07:22:31.066Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.4xlarge|c5ad.xlarge|c6gd.2xlarge|c6gd.large|and55others,2025-03-11T07:22:33.527Z,i-031a8008ead459378,m6gd.large,eu-west-1a,spot,2025-03-11T07:22:54.485Z,ip-10-0-59-82.eu-west-1.compute.internal,2025-03-11T07:23:20.451Z,49.385s,49.4,,,,,,,2025-03-11T07:27:31.063Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T07:27:31Z,2025-03-11T07:27:31.115Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T07:29:22.869Z,1m51.806s,111.8,6m51.803s,411.8,true,true
local-storage-raid-al2023-mr8j9,2025-03-11T07:27:33.577Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.xlarge|c5d.4xlarge|c6gd.2xlarge|c6gd.4xlarge|and55others,2025-03-11T07:27:35.911Z,i-033fcfa28e1474535,c7gd.large,eu-west-1b,spot,2025-03-11T07:27:54.960Z,ip-10-0-97-13.eu-west-1.compute.internal,2025-03-11T07:28:14.485Z,40.908s,40.9,,,,,,,2025-03-11T07:32:33.059Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T07:32:33Z,2025-03-11T07:32:33.113Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T07:33:32.095Z,59.036s,59.0,5m58.518s,358.5,true,true
local-storage-raid-al2023-xt5tv,2025-03-11T07:32:35.352Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.xlarge|c5d.2xlarge|c5d.4xlarge|c6gd.2xlarge|and55others,2025-03-11T07:32:38.216Z,i-0e076e4aeeb9c9b9d,c7gd.large,eu-west-1c,spot,2025-03-11T07:32:56.780Z,ip-10-0-128-134.eu-west-1.compute.internal,2025-03-11T07:33:16.804Z,41.452s,41.5,,,,,,,2025-03-11T07:37:35.111Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T07:37:35Z,2025-03-11T07:37:35.191Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T07:38:55.782Z,1m20.671s,80.7,6m20.43s,380.4,true,true
local-storage-raid-al2023-cjvkg,2025-03-11T07:37:36.542Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.xlarge|c5d.4xlarge|c6gd.2xlarge|c6gd.4xlarge|and55others,2025-03-11T07:37:38.999Z,i-09928853a763c3244,c7gd.large,eu-west-1b,spot,2025-03-11T07:37:58.798Z,ip-10-0-86-42.eu-west-1.compute.internal,2025-03-11T07:38:17.841Z,41.299s,41.3,,,,,,,2025-03-11T07:42:36.084Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T07:42:36Z,2025-03-11T07:42:36.139Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T07:44:32.997Z,1m56.913s,116.9,6m56.455s,416.5,true,true
local-storage-raid-al2023-hhl8f,2025-03-11T07:42:38.127Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.xlarge|c5d.4xlarge|c6gd.2xlarge|c6gd.4xlarge|and55others,2025-03-11T07:42:40.380Z,i-02316d9bfafdcb8f9,c7gd.large,eu-west-1b,spot,2025-03-11T07:42:58.607Z,ip-10-0-89-228.eu-west-1.compute.internal,2025-03-11T07:43:18.252Z,40.125s,40.1,,,,,,,2025-03-11T07:47:38.062Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T07:47:38Z,2025-03-11T07:47:38.119Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T07:48:52.641Z,1m14.579s,74.6,6m14.514s,374.5,true,true
local-storage-raid-al2023-fqkjv,2025-03-11T07:47:39.669Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.4xlarge|c5ad.xlarge|c6gd.2xlarge|c6gd.large|and55others,2025-03-11T07:47:41.815Z,i-021399c279dcd79e0,m6gd.large,eu-west-1a,spot,2025-03-11T07:48:05.851Z,ip-10-0-50-122.eu-west-1.compute.internal,2025-03-11T07:48:32.084Z,52.415s,52.4,,,,,,,2025-03-11T07:52:39.065Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T07:52:39Z,2025-03-11T07:52:39.115Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T07:53:59.825Z,1m20.76s,80.8,6m20.156s,380.2,true,true
local-storage-raid-al2023-hpjgv,2025-03-11T07:52:41.154Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.4xlarge|c5ad.xlarge|c6gd.2xlarge|c6gd.large|and55others,2025-03-11T07:52:43.365Z,i-08e5ec19060d4644c,m6gd.large,eu-west-1a,spot,2025-03-11T07:53:06.344Z,ip-10-0-48-76.eu-west-1.compute.internal,2025-03-11T07:53:33.811Z,52.657s,52.7,,,,,,,2025-03-11T07:57:41.059Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T07:57:41Z,2025-03-11T07:57:41.116Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T07:59:37.051Z,1m55.992s,116.0,6m55.897s,415.9,true,true
local-storage-raid-al2023-w5nr4,2025-03-11T07:57:42.651Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.xlarge|c5d.4xlarge|c6gd.2xlarge|c6gd.4xlarge|and55others,2025-03-11T07:57:44.986Z,i-0e5e37de894a5b993,c7gd.large,eu-west-1b,spot,2025-03-11T07:58:04.011Z,ip-10-0-69-62.eu-west-1.compute.internal,2025-03-11T07:58:24.103Z,41.452s,41.5,,,,,,,2025-03-11T08:02:42.061Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T08:02:42Z,2025-03-11T08:02:42.113Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T08:04:34.105Z,1m52.044s,112.0,6m51.454s,411.5,true,true
local-storage-raid-al2023-54n8j,2025-03-11T08:02:44.163Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.xlarge|c5d.4xlarge|c6gd.2xlarge|c6gd.4xlarge|and55others,2025-03-11T08:02:46.279Z,i-0357165bea65807b6,c7gd.large,eu-west-1b,spot,2025-03-11T08:03:06.347Z,ip-10-0-125-39.eu-west-1.compute.internal,2025-03-11T08:03:25.561Z,41.398s,41.4,,,,,,,2025-03-11T08:07:44.062Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T08:07:44Z,2025-03-11T08:07:44.119Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T08:09:24.484Z,1m40.422s,100.4,6m40.321s,400.3,true,true
local-storage-raid-al2023-t9vlg,2025-03-11T08:07:45.729Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.xlarge|c5d.2xlarge|c5d.4xlarge|c6gd.2xlarge|and55others,2025-03-11T08:07:47.950Z,i-007e9b1b8e73bab99,c7gd.large,eu-west-1c,spot,2025-03-11T08:08:07.389Z,ip-10-0-155-201.eu-west-1.compute.internal,2025-03-11T08:08:27.326Z,41.597s,41.6,,,,,,,2025-03-11T08:12:45.066Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T08:12:45Z,2025-03-11T08:12:45.121Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T08:14:04.777Z,1m19.711s,79.7,6m19.048s,379.0,true,true
local-storage-raid-al2023-rtfxd,2025-03-11T08:12:47.248Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.xlarge|c5d.4xlarge|c6gd.2xlarge|c6gd.4xlarge|and55others,2025-03-11T08:12:49.497Z,i-0ada63b9d1755c641,c7gd.large,eu-west-1b,spot,2025-03-11T08:13:09.017Z,ip-10-0-88-204.eu-west-1.compute.internal,2025-03-11T08:13:28.176Z,40.928s,40.9,,,,,,,2025-03-11T08:17:47.073Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T08:17:47Z,2025-03-11T08:17:47.137Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T08:18:40.648Z,53.575s,53.6,5m53.4s,353.4,true,true
local-storage-raid-al2023-t25p4,2025-03-11T08:17:48.771Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.4xlarge|c5ad.xlarge|c6gd.2xlarge|c6gd.large|and55others,2025-03-11T08:17:51.012Z,i-05dda0efb61ece0bb,m6gd.large,eu-west-1a,spot,2025-03-11T08:18:13.416Z,ip-10-0-4-88.eu-west-1.compute.internal,2025-03-11T08:18:40.629Z,51.858s,51.9,,,,,,,2025-03-11T08:22:48.064Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T08:22:48Z,2025-03-11T08:22:48.122Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T08:23:53.310Z,1m5.246s,65.2,6m4.539s,364.5,true,true
local-storage-raid-al2023-v69h2,2025-03-11T08:22:50.360Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.xlarge|c5d.4xlarge|c6gd.2xlarge|c6gd.4xlarge|and55others,2025-03-11T08:22:52.549Z,i-095b9804fcbb29a0c,c7gd.large,eu-west-1b,spot,2025-03-11T08:23:13.517Z,ip-10-0-120-64.eu-west-1.compute.internal,2025-03-11T08:23:33.714Z,43.354s,43.4,,,,,,,2025-03-11T08:27:50.062Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T08:27:50Z,2025-03-11T08:27:50.118Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T08:29:46.007Z,1m55.945s,115.9,6m55.647s,415.6,true,true
local-storage-raid-al2023-kgk94,2025-03-11T08:27:51.779Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.xlarge|c5d.2xlarge|c5d.4xlarge|c6gd.2xlarge|and55others,2025-03-11T08:27:54.067Z,i-05cc94fec3fcd9f12,c7gd.large,eu-west-1c,spot,2025-03-11T08:28:13.551Z,ip-10-0-187-21.eu-west-1.compute.internal,2025-03-11T08:28:33.582Z,41.803s,41.8,,,,,,,2025-03-11T08:32:51.064Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T08:32:51Z,2025-03-11T08:32:51.127Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T08:34:05.890Z,1m14.826s,74.8,6m14.111s,374.1,true,true
local-storage-raid-al2023-xjpl9,2025-03-11T08:32:53.251Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.xlarge|c5d.4xlarge|c6gd.2xlarge|c6gd.4xlarge|and55others,2025-03-11T08:32:55.432Z,i-0c5b988de601e6a1b,c7gd.large,eu-west-1b,spot,2025-03-11T08:33:15.295Z,ip-10-0-126-39.eu-west-1.compute.internal,2025-03-11T08:33:34.779Z,41.528s,41.5,,,,,,,2025-03-11T08:37:53.062Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T08:37:53Z,2025-03-11T08:37:53.122Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T08:39:33.901Z,1m40.839s,100.8,6m40.65s,400.6,true,true
local-storage-raid-al2023-f74qv,2025-03-11T08:37:54.783Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.4xlarge|c5ad.xlarge|c6gd.2xlarge|c6gd.large|and55others,2025-03-11T08:37:56.976Z,i-079cd05837b26ec69,m6gd.large,eu-west-1a,spot,2025-03-11T08:38:19.244Z,ip-10-0-6-103.eu-west-1.compute.internal,2025-03-11T08:38:45.926Z,51.143s,51.1,,,,,,,2025-03-11T08:42:54.060Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T08:42:54Z,2025-03-11T08:42:54.108Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T08:44:30.222Z,1m36.162s,96.2,6m35.439s,395.4,true,true
local-storage-raid-al2023-cr7hm,2025-03-11T08:42:55.469Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.xlarge|c5d.2xlarge|c5d.4xlarge|c6gd.2xlarge|and55others,2025-03-11T08:42:57.552Z,i-05bd10c838c2a131e,c7gd.large,eu-west-1c,spot,2025-03-11T08:43:18.620Z,ip-10-0-176-97.eu-west-1.compute.internal,2025-03-11T08:43:39.581Z,44.112s,44.1,,,,,,,2025-03-11T08:47:55.064Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T08:47:55Z,2025-03-11T08:47:55.134Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T08:49:09.776Z,1m14.712s,74.7,6m14.307s,374.3,true,true
local-storage-raid-al2023-2wrtp,2025-03-11T08:47:56.832Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.xlarge|c5d.2xlarge|c5d.4xlarge|c6gd.2xlarge|and55others,2025-03-11T08:47:59.055Z,i-00b2fb2efa4d719c6,c7gd.large,eu-west-1c,spot,2025-03-11T08:48:20.798Z,ip-10-0-129-223.eu-west-1.compute.internal,2025-03-11T08:48:40.717Z,43.885s,43.9,,,,,,,2025-03-11T08:52:56.068Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T08:52:56Z,2025-03-11T08:52:56.119Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T08:54:02.271Z,1m6.203s,66.2,6m5.439s,365.4,true,true
local-storage-raid-al2023-hmwf5,2025-03-11T08:52:58.368Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.4xlarge|c5ad.xlarge|c6gd.2xlarge|c6gd.large|and55others,2025-03-11T08:53:00.626Z,i-003d8c8187b134292,m6gd.large,eu-west-1a,spot,2025-03-11T08:53:21.695Z,ip-10-0-45-241.eu-west-1.compute.internal,2025-03-11T08:53:46.093Z,47.725s,47.7,,,,,,,2025-03-11T08:57:58.061Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T08:57:58Z,2025-03-11T08:57:58.110Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T08:59:59.124Z,2m1.063s,121.1,7m0.756s,420.8,true,true
local-storage-raid-al2023-jbjjl,2025-03-11T08:57:59.801Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.4xlarge|c5ad.xlarge|c6gd.2xlarge|c6gd.large|and55others,2025-03-11T08:58:02.153Z,i-030d8f2ab56f52028,m6gd.large,eu-west-1a,spot,2025-03-11T08:58:24.424Z,ip-10-0-60-146.eu-west-1.compute.internal,2025-03-11T08:58:50.824Z,51.023s,51.0,,,,,,,2025-03-11T09:02:59.081Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T09:02:59Z,2025-03-11T09:02:59.184Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T09:04:25.082Z,1m26.001s,86.0,6m25.281s,385.3,true,true
